Nivel;Cod;setores;Ano;tipo;Qtd;Temp_Max;TempMin;Media
BR;289;Uso da terra, mudanca do uso da terra e florestas;2011;CO2;234510;14,53;12,85;13,69
BR;291;Uso da terra, mudanca do uso da terra e florestas;2011;N2O;44;14,53;12,85;13,69
BR;293;Uso da terra, mudanca do uso da terra e florestas;2012;CH4;1080;15,45;13,47;14,46
BR;292;Uso da terra, mudanca do uso da terra e florestas;2012;CO2;200350;15,45;13,47;14,46
BR;294;Uso da terra, mudanca do uso da terra e florestas;2012;N2O;45;15,45;13,47;14,46
BR;296;Uso da terra, mudanca do uso da terra e florestas;2013;CH4;1255;15,28;13,78;14,53
BR;295;Uso da terra, mudanca do uso da terra e florestas;2013;CO2;333070;15,28;13,78;14,53
BR;297;Uso da terra, mudanca do uso da terra e florestas;2013;N2O;51;15,28;13,78;14,53
BR;299;Uso da terra, mudanca do uso da terra e florestas;2014;CH4;1027;14,96;13,22;14,09
BR;298;Uso da terra, mudanca do uso da terra e florestas;2014;CO2;182500;14,96;13,22;14,09
BR;300;Uso da terra, mudanca do uso da terra e florestas;2014;N2O;44;14,96;13,22;14,09
